SMILES,SMILES_state,NLL
COc1cccc(CN(CCCS(N)(=O)=O)C(=O)Nc2ccc(Cn3nnc4c(N5CCc6ccccc65)cc(C)cc43)cc2)c1,1,66.13
CCSc1nc2c(c(=O)n1-c1ccc(F)cc1)SC1CCCCC1N2,1,28.92
O=C(CN1CCOC(Cn2cccn2)C1)N=c1cc[nH]n1C1CCCC1,1,22.28
CN=C1C=C2Cc3ccccc3CC2CN1,1,31.31
CNc1ccc(C)cc1C[S+]([O-])c1nnnn1CCC(C)C,1,33.42
Cc1ccc(S(=O)(=O)N(C)N=Cc2cnn3ccc(Cl)nc23)cc1,1,19.92
Cc1ccc(F)cc1-c1ccc(NC(=O)n2cc(OCc3ccccc3)cn2)cc1,1,36.75
CC1=NC(=O)NC(c2c(C)noc2C)C1C(=O)O,1,22.93
NC(=O)CCCNC(=O)c1ccc2[nH]c3c(c2c1)CC(Cl)=CC3,1,35.62
CCCCCCCCC=CCCCCCOc1ccc(OC)c(CN(CCCOc2ccc3ccc(=O)oc3c2)CCOCCOc2ccc(-c3cc(=O)c4ccccc4o3)cc2)c1,1,38.8
COC(=O)C1=CN(C(=O)c2cccc(OC)c2)CC(C)(C)c2c1[nH]c1ccccc21,1,26.39
N=C1C(=Cc2ccc(Sc3nc4ccccc4[nH]3)s2)C(=O)N=C2SCCCN12,1,29.04
O=C(O)CC1CCCC(=O)C1,1,19.98
Cc1c(NC(=O)c2ccc(Cl)cc2)cccc1NS(C)(=O)=O,1,25.57
Cc1cc(C)nc(C2CCCC2NC(=O)c2cc(C)n(C)n2)n1,1,30.85
CN(C)c1cccc(C(=O)Nc2cc(-c3cccc4nc5ccccc5nc34)ccc2N2CCN(CC#N)CC2)c1,1,46.2
COC(=O)C1CC(C)OC(=O)C2(C)C3(C)CCC4C(C)(C)C(OC(C)=O)C(OC(C)=O)CC4(C)C3CC(O)C12C,1,43.96
COc1ccc(C(CC(=O)O)NC(=O)c2cc(OC)c(OC)c(OC)c2)nc1-c1ccc(Cl)c(C(F)(F)F)c1,1,30.41
OCC1CCN(C(=NO)c2ccnc(Oc3ccc(F)c(Cl)c3)c2)CC1,1,23.89
COc1ccc(C=CC(=O)c2c(C)sc(C(=O)O)c2C)cc1OC,1,27.56
